###### TEST LOG ####################
# Time taken               : 24.70 s
# Test Parameters: 
# 0.80 0.98 0.00 0.80
# 1.00 1.00 0.00 0.20
# Confined Less Infective? : True
# Homes Quarantined?       : False
# Quarantine when sampled? : False
# Testing Started When     : 20.00% recovered
# Fraction Tested Daily    : 0.10%
# LQ Tests Done in total   : 1006
# HQ Tests Done in total   : 134
# All Tests Done in total  : 1140
# Results Given in total   : 1140
# Locations Moved in total : 3965708
# Total recovered HCW      : 56
# Total HCW                : 63
# Rate Array: 
#     0 0.125 0.125     0     0     0     0 
#     0     0     0     0     0 0.143     0 
#     0     0     0 0.425 0.075     0     0 
#     0     0     0     0     0   0.1     0 
#     0     0     0     0     0   0.1   0.4 
#     0     0     0     0     0     0     0 
#     0     0     0     0     0   0.1     0 
###### END LOG #####################
#
# Day nS nA nP nMI nSI nR nH PCR_conducted_today RAT_conducted_today Tests_remaining_today Agents_currently_confined Quarantines_removed_today Locations_in_quarantine_today
0 9990 10 0 0 0 0 0 0 0 10 0 0 0 
1 9989 8 0 0 0 3 0 0 0 10 0 0 0 
2 9986 7 1 1 0 5 0 0 0 10 0 0 0 
3 9984 5 2 2 0 7 0 0 0 10 0 0 0 
4 9983 4 2 3 0 8 0 0 0 10 0 0 0 
5 9981 5 1 4 0 9 0 0 0 10 0 0 0 
6 9980 5 1 5 0 9 0 0 0 10 0 0 0 
7 9979 5 1 5 0 10 0 0 0 10 0 0 0 
8 9977 5 1 6 0 10 1 0 0 10 0 0 0 
9 9975 5 2 6 0 11 1 0 0 10 0 0 0 
10 9967 9 4 5 0 14 1 0 0 10 0 0 0 
11 9963 11 3 5 0 17 1 0 0 10 0 0 0 
12 9962 9 0 7 0 22 0 0 0 10 0 0 0 
13 9960 9 0 6 0 25 0 0 0 10 0 0 0 
14 9958 10 0 5 0 27 0 0 0 10 0 0 0 
15 9956 9 1 4 0 30 0 0 0 10 0 0 0 
16 9955 10 1 4 0 30 0 0 0 10 0 0 0 
17 9953 10 2 4 0 31 0 0 0 10 0 0 0 
18 9948 10 4 4 0 34 0 0 0 10 0 0 0 
19 9946 10 4 3 0 37 0 0 0 10 0 0 0 
20 9943 9 3 6 0 39 0 0 0 10 0 0 0 
21 9940 10 3 6 0 41 0 0 0 10 0 0 0 
22 9937 10 2 6 1 44 0 0 0 10 0 0 0 
23 9934 11 4 5 1 45 0 0 0 10 0 0 0 
24 9929 12 1 8 2 48 0 0 0 10 0 0 0 
25 9923 13 5 6 1 52 0 0 0 10 0 0 0 
26 9918 16 5 7 1 53 0 0 0 10 0 0 0 
27 9914 18 4 6 2 56 0 0 0 10 0 0 0 
28 9903 17 11 8 2 59 0 0 0 10 0 0 0 
29 9896 17 11 10 2 64 0 0 0 10 0 0 0 
30 9886 22 11 11 2 68 0 0 0 10 0 0 0 
31 9878 23 10 14 1 73 1 0 0 10 0 0 0 
32 9871 22 9 16 3 78 1 0 0 10 0 0 0 
33 9868 22 11 12 2 83 2 0 0 10 0 0 0 
34 9861 25 7 18 2 85 2 0 0 10 0 0 0 
35 9850 24 9 20 1 93 3 0 0 10 0 0 0 
36 9841 26 7 24 0 99 3 0 0 10 0 0 0 
37 9829 26 9 25 0 108 3 0 0 10 0 0 0 
38 9804 34 14 31 1 112 4 0 0 10 0 0 0 
39 9788 36 14 33 0 125 4 0 0 10 0 0 0 
40 9777 40 16 32 1 130 4 0 0 10 0 0 0 
41 9759 43 17 34 2 140 5 0 0 10 0 0 0 
42 9738 50 22 35 2 149 4 0 0 10 0 0 0 
43 9724 55 20 41 2 154 4 0 0 10 0 0 0 
44 9707 59 14 41 5 169 5 0 0 10 0 0 0 
45 9681 65 18 47 4 179 6 0 0 10 0 0 0 
46 9657 67 22 48 5 195 6 0 0 10 0 0 0 
47 9645 61 19 53 6 210 6 0 0 10 0 0 0 
48 9628 60 22 52 6 225 7 0 0 10 0 0 0 
49 9604 61 26 57 7 238 7 0 0 10 0 0 0 
50 9580 69 29 59 3 251 9 0 0 10 0 0 0 
51 9551 72 31 65 8 264 9 0 0 10 0 0 0 
52 9524 76 25 70 7 288 10 0 0 10 0 0 0 
53 9504 74 28 69 7 305 13 0 0 10 0 0 0 
54 9479 74 33 70 5 326 13 0 0 10 0 0 0 
55 9444 78 39 71 5 348 15 0 0 10 0 0 0 
56 9410 85 48 71 5 367 14 0 0 10 0 0 0 
57 9376 91 35 91 6 387 14 0 0 10 0 0 0 
58 9343 92 38 95 7 409 16 0 0 10 0 0 0 
59 9302 103 38 99 6 436 16 0 0 10 0 0 0 
60 9246 123 46 103 5 458 19 0 0 10 0 0 0 
61 9193 135 49 113 5 488 17 0 0 10 0 0 0 
62 9149 141 35 125 7 526 17 0 0 10 0 0 0 
63 9098 155 32 128 6 562 19 0 0 10 0 0 0 
64 9039 164 40 132 6 598 21 0 0 10 0 0 0 
65 8982 165 43 140 5 645 20 0 0 10 0 0 0 
66 8918 183 46 150 5 679 19 0 0 10 0 0 0 
67 8862 180 56 157 5 722 18 0 0 10 0 0 0 
68 8812 185 58 157 8 762 18 0 0 10 0 0 0 
69 8740 193 61 167 8 811 20 0 0 10 0 0 0 
70 8680 193 63 188 3 853 20 0 0 10 0 0 0 
71 8611 195 66 190 9 912 17 0 0 10 0 0 0 
72 8532 198 74 197 10 972 17 0 0 10 0 0 0 
73 8451 216 76 202 15 1023 17 0 0 10 0 0 0 
74 8364 231 88 204 13 1080 20 0 0 10 0 0 0 
75 8279 250 87 209 12 1143 20 0 0 10 0 0 0 
76 8177 291 86 224 12 1187 23 0 0 10 0 0 0 
77 8083 294 99 233 6 1260 25 0 0 10 0 0 0 
78 7998 290 96 250 10 1330 26 0 0 10 0 0 0 
79 7901 298 105 252 12 1406 26 0 0 10 0 0 0 
80 7797 310 105 261 9 1490 28 0 0 10 0 0 0 
81 7690 330 107 267 12 1565 29 0 0 10 0 0 0 
82 7601 326 92 284 12 1650 35 0 0 10 0 0 0 
83 7499 328 87 282 18 1748 38 0 0 10 0 0 0 
84 7404 333 102 278 12 1828 43 0 0 10 0 0 0 
85 7308 331 106 289 9 1919 38 0 0 10 0 0 0 
86 7218 322 91 301 9 2021 38 1 9 0 8 0 0 
87 7145 305 97 307 7 2099 40 2 18 0 17 0 0 
88 7035 309 104 314 16 2181 41 3 27 0 25 0 0 
89 6944 300 115 324 11 2266 40 4 36 0 34 0 0 
90 6852 292 116 337 15 2346 42 5 45 0 42 0 0 
91 6783 289 106 346 14 2421 41 6 54 0 49 0 0 
92 6696 281 87 363 16 2521 36 7 63 0 57 0 0 
93 6608 276 94 363 12 2611 36 8 72 0 65 0 0 
94 6514 300 88 355 13 2696 34 9 81 0 73 0 0 
95 6431 295 82 350 8 2800 34 10 90 0 81 0 0 
96 6336 300 91 335 9 2892 37 11 99 0 88 0 0 
97 6261 297 81 333 10 2984 34 12 108 0 97 0 0 
98 6201 271 73 338 7 3072 38 13 117 0 106 0 0 
99 6134 274 76 327 5 3144 40 14 126 0 113 0 0 
100 6054 277 77 328 6 3219 39 15 135 0 113 0 0 
101 5988 264 86 322 8 3293 39 16 144 0 111 0 0 
102 5910 267 97 312 13 3360 41 17 153 0 110 0 0 
103 5837 271 89 307 13 3440 43 18 162 0 110 0 0 
104 5778 266 67 314 11 3518 46 19 171 0 109 0 0 
105 5706 268 71 315 7 3583 50 20 180 0 110 0 0 
106 5638 256 80 305 7 3663 51 21 189 0 108 0 0 
107 5578 242 80 302 7 3736 55 22 198 0 107 0 0 
108 5519 239 62 307 11 3808 54 23 207 0 108 0 0 
109 5461 235 56 291 9 3892 56 24 216 0 106 0 0 
110 5396 235 56 282 11 3971 49 25 225 0 109 0 0 
111 5350 227 57 268 9 4040 49 26 234 0 109 0 0 
112 5294 233 54 271 9 4090 49 27 243 0 108 0 0 
113 5246 234 51 257 9 4155 48 28 252 0 110 0 0 
114 5200 220 52 254 7 4219 48 29 261 0 111 0 0 
115 5152 207 50 250 5 4292 44 30 270 0 110 0 0 
116 5105 206 51 258 5 4332 43 31 279 0 108 0 0 
117 5059 190 46 257 5 4403 40 32 288 0 104 0 0 
118 5006 193 54 253 7 4448 39 33 297 0 103 0 0 
119 4957 191 57 246 5 4502 42 34 306 0 107 0 0 
120 4913 187 55 240 6 4559 40 35 315 0 109 0 0 
121 4872 194 46 240 7 4602 39 36 324 0 106 0 0 
122 4835 188 46 228 10 4657 36 37 333 0 107 0 0 
123 4805 185 40 221 9 4702 38 38 342 0 110 0 0 
124 4772 180 33 216 7 4752 40 39 351 0 111 0 0 
125 4732 171 32 210 6 4809 40 40 360 0 111 0 0 
126 4693 165 41 206 3 4857 35 41 369 0 111 0 0 
127 4669 155 33 197 4 4908 34 42 378 0 113 0 0 
128 4642 150 26 190 8 4951 33 43 387 0 114 0 0 
129 4621 139 26 178 9 4991 36 44 396 0 113 0 0 
130 4594 123 35 171 6 5037 34 45 405 0 117 0 0 
131 4560 120 49 172 3 5060 36 46 414 0 120 0 0 
132 4530 115 37 179 7 5101 31 47 423 0 122 0 0 
133 4499 115 38 178 6 5135 29 48 432 0 121 0 0 
134 4477 108 37 167 5 5177 29 49 441 0 121 0 0 
135 4456 107 33 163 5 5208 28 50 450 0 122 0 0 
136 4432 100 27 167 5 5241 28 51 459 0 120 0 0 
137 4406 97 27 154 4 5282 30 52 468 0 118 0 0 
138 4387 90 19 156 6 5312 30 53 477 0 118 0 0 
139 4367 84 18 152 5 5344 30 54 486 0 117 0 0 
140 4355 79 15 136 2 5383 30 55 495 0 117 0 0 
141 4341 74 14 127 4 5416 24 56 504 0 117 0 0 
142 4325 69 14 126 3 5439 24 57 513 0 116 0 0 
143 4317 59 17 114 2 5470 21 58 522 0 117 0 0 
144 4304 62 13 109 2 5492 18 59 531 0 116 0 0 
145 4290 63 11 106 1 5511 18 60 540 0 115 0 0 
146 4282 53 11 102 1 5536 15 61 549 0 114 0 0 
147 4272 53 10 100 2 5549 14 62 558 0 114 0 0 
148 4263 49 11 97 2 5566 12 63 567 0 113 0 0 
149 4257 47 9 92 1 5583 11 64 576 0 112 0 0 
150 4247 48 11 86 0 5597 11 65 585 0 113 0 0 
151 4237 49 10 85 1 5608 10 66 594 0 113 0 0 
152 4220 48 12 83 2 5626 9 67 603 0 112 0 0 
153 4214 45 10 78 1 5644 8 68 612 0 110 0 0 
154 4206 46 10 73 1 5657 7 69 621 0 110 0 0 
155 4198 41 10 70 0 5673 8 70 630 0 107 0 0 
156 4197 35 6 66 0 5691 5 71 639 0 108 0 0 
157 4188 38 8 61 0 5700 5 72 648 0 106 0 0 
158 4183 33 4 55 2 5718 5 74 656 0 104 0 0 
159 4181 25 4 50 0 5734 6 76 664 0 96 0 0 
160 4179 23 3 45 0 5744 6 77 673 0 94 0 0 
161 4177 20 1 45 0 5752 5 78 682 0 92 0 0 
162 4173 21 1 42 0 5758 5 80 690 0 88 0 0 
163 4170 17 2 37 0 5769 5 81 699 0 87 0 0 
164 4167 13 3 34 0 5779 4 83 707 0 78 0 0 
165 4167 12 2 26 0 5789 4 84 716 0 72 0 0 
166 4166 12 3 24 0 5792 3 85 725 0 66 0 0 
167 4166 12 2 23 0 5794 3 86 734 0 61 0 0 
168 4163 13 1 20 1 5799 3 87 743 0 54 0 0 
169 4163 10 1 19 1 5803 3 89 751 0 49 0 0 
170 4161 9 1 19 1 5807 2 90 760 0 43 0 0 
171 4159 8 1 17 1 5812 2 92 768 0 39 0 0 
172 4158 8 1 16 0 5815 2 94 776 0 36 0 0 
173 4156 9 0 17 0 5816 2 95 785 0 37 0 0 
174 4155 10 0 17 0 5816 2 96 794 0 31 0 0 
175 4152 11 2 16 0 5817 2 98 802 0 26 0 0 
176 4152 11 0 17 0 5818 2 100 810 0 27 0 0 
177 4150 10 1 17 0 5820 2 101 819 0 22 0 0 
178 4150 9 1 17 0 5821 2 102 828 0 22 0 0 
179 4150 7 1 15 0 5825 2 104 836 0 21 0 0 
180 4149 7 1 14 0 5827 2 105 845 0 22 0 0 
181 4149 7 0 14 0 5828 2 107 853 0 22 0 0 
182 4149 6 0 11 0 5832 2 108 862 0 20 0 0 
183 4148 7 0 9 0 5834 2 110 870 0 20 0 0 
184 4147 8 0 7 0 5836 2 112 878 0 18 0 0 
185 4146 7 0 7 0 5838 2 113 887 0 16 0 0 
186 4146 6 0 5 0 5841 2 115 895 0 15 0 0 
187 4146 4 0 5 0 5843 2 117 903 0 13 0 0 
188 4145 5 0 4 0 5844 2 119 911 0 13 0 0 
189 4145 3 0 3 0 5847 2 120 920 0 13 0 0 
190 4145 3 0 3 0 5847 2 122 928 0 10 0 0 
191 4145 3 0 2 0 5848 2 123 937 0 10 0 0 
192 4145 3 0 2 0 5848 2 124 946 0 9 0 0 
193 4144 4 0 2 0 5848 2 125 955 0 8 0 0 
194 4144 4 0 2 0 5848 2 126 964 0 6 0 0 
195 4144 4 0 2 0 5849 1 128 972 0 5 0 0 
196 4144 3 0 2 0 5850 1 130 980 0 5 0 0 
197 4144 3 0 2 0 5850 1 132 988 0 4 0 0 
198 4144 2 0 2 0 5851 1 133 997 0 5 0 0 
199 4144 2 0 1 0 5852 1 134 1006 0 5 0 0 
