###### TEST LOG ####################
# Time taken               : 29.89 s
# Test Parameters: 
# 0.95 0.98 0.00 1.00
# 1.00 1.00 0.00 0.00
# Confined Less Infective? : True
# Homes Quarantined?       : False
# Quarantine when sampled? : False
# Testing Started When     : 20.00% recovered
# Fraction Tested Daily    : 0.10%
# LQ Tests Done in total   : 1270
# HQ Tests Done in total   : 0
# All Tests Done in total  : 1270
# Results Given in total   : 1270
# Locations Moved in total : 3965321
# Total recovered HCW      : 81
# Total HCW                : 100
# Rate Array: 
#     0 0.125 0.125     0     0     0     0 
#     0     0     0     0     0 0.143     0 
#     0     0     0 0.425 0.075     0     0 
#     0     0     0     0     0   0.1     0 
#     0     0     0     0     0   0.1   0.4 
#     0     0     0     0     0     0     0 
#     0     0     0     0     0   0.1     0 
###### END LOG #####################
#
# Day nS nA nP nMI nSI nR nH PCR_conducted_today RAT_conducted_today Tests_remaining_today Agents_currently_confined Quarantines_removed_today Locations_in_quarantine_today
0 9990 10 0 0 0 0 0 0 0 10 0 0 0 
1 9989 10 0 0 0 1 0 0 0 10 0 0 0 
2 9986 12 0 0 0 2 0 0 0 10 0 0 0 
3 9983 10 1 0 0 6 0 0 0 10 0 0 0 
4 9983 8 1 0 0 8 0 0 0 10 0 0 0 
5 9978 9 4 0 0 9 0 0 0 10 0 0 0 
6 9973 11 5 1 0 10 0 0 0 10 0 0 0 
7 9969 14 5 1 0 11 0 0 0 10 0 0 0 
8 9966 15 4 3 0 12 0 0 0 10 0 0 0 
9 9964 13 4 5 0 14 0 0 0 10 0 0 0 
10 9958 16 6 6 0 14 0 0 0 10 0 0 0 
11 9952 16 4 10 1 17 0 0 0 10 0 0 0 
12 9950 16 2 12 1 19 0 0 0 10 0 0 0 
13 9943 16 4 13 2 22 0 0 0 10 0 0 0 
14 9940 15 4 13 2 25 1 0 0 10 0 0 0 
15 9935 14 8 10 2 31 0 0 0 10 0 0 0 
16 9924 17 9 14 2 33 1 0 0 10 0 0 0 
17 9911 24 8 18 2 36 1 0 0 10 0 0 0 
18 9898 26 8 23 1 41 3 0 0 10 0 0 0 
19 9880 32 11 29 0 44 4 0 0 10 0 0 0 
20 9869 32 11 32 0 52 4 0 0 10 0 0 0 
21 9858 34 10 36 0 58 4 0 0 10 0 0 0 
22 9847 29 15 35 0 70 4 0 0 10 0 0 0 
23 9837 29 14 35 2 79 4 0 0 10 0 0 0 
24 9824 30 14 39 2 87 4 0 0 10 0 0 0 
25 9805 41 20 37 2 91 4 0 0 10 0 0 0 
26 9783 46 21 42 2 102 4 0 0 10 0 0 0 
27 9767 41 18 49 1 119 5 0 0 10 0 0 0 
28 9753 41 18 51 1 130 6 0 0 10 0 0 0 
29 9728 47 21 51 2 145 6 0 0 10 0 0 0 
30 9706 48 23 56 2 159 6 0 0 10 0 0 0 
31 9674 50 27 64 5 175 5 0 0 10 0 0 0 
32 9653 55 25 65 7 189 6 0 0 10 0 0 0 
33 9638 53 19 72 4 204 10 0 0 10 0 0 0 
34 9613 54 19 75 2 224 13 0 0 10 0 0 0 
35 9592 56 24 76 2 239 11 0 0 10 0 0 0 
36 9561 62 21 83 2 261 10 0 0 10 0 0 0 
37 9533 72 17 86 3 280 9 0 0 10 0 0 0 
38 9501 73 28 80 2 306 10 0 0 10 0 0 0 
39 9483 69 27 82 1 328 10 0 0 10 0 0 0 
40 9453 75 20 94 4 344 10 0 0 10 0 0 0 
41 9425 82 23 94 5 360 11 0 0 10 0 0 0 
42 9387 88 32 98 7 377 11 0 0 10 0 0 0 
43 9358 87 35 93 4 410 13 0 0 10 0 0 0 
44 9312 98 44 97 6 430 13 0 0 10 0 0 0 
45 9255 103 50 115 5 458 14 0 0 10 0 0 0 
46 9213 113 39 128 11 482 14 0 0 10 0 0 0 
47 9165 124 36 137 9 511 18 0 0 10 0 0 0 
48 9121 129 29 142 7 554 18 0 0 10 0 0 0 
49 9069 140 37 140 6 590 18 0 0 10 0 0 0 
50 9023 138 40 141 4 634 20 0 0 10 0 0 0 
51 8961 150 48 146 7 669 19 0 0 10 0 0 0 
52 8903 151 52 152 7 716 19 0 0 10 0 0 0 
53 8841 162 62 150 7 762 16 0 0 10 0 0 0 
54 8786 181 57 160 5 794 17 0 0 10 0 0 0 
55 8722 192 55 179 8 829 15 0 0 10 0 0 0 
56 8647 198 63 191 7 880 14 0 0 10 0 0 0 
57 8584 216 57 197 6 924 16 0 0 10 0 0 0 
58 8519 211 61 211 6 973 19 0 0 10 0 0 0 
59 8447 220 71 208 5 1029 20 0 0 10 0 0 0 
60 8365 230 87 206 9 1088 15 0 0 10 0 0 0 
61 8280 233 82 223 11 1153 18 0 0 10 0 0 0 
62 8196 244 89 236 11 1205 19 0 0 10 0 0 0 
63 8096 259 85 254 13 1271 22 0 0 10 0 0 0 
64 8006 267 92 249 12 1348 26 0 0 10 0 0 0 
65 7889 296 97 282 13 1396 27 0 0 10 0 0 0 
66 7789 303 101 287 18 1475 27 0 0 10 0 0 0 
67 7685 311 113 291 17 1550 33 0 0 10 0 0 0 
68 7593 313 103 318 15 1616 42 0 0 10 0 0 0 
69 7477 323 110 328 17 1702 43 0 0 10 0 0 0 
70 7365 326 128 336 19 1779 47 0 0 10 0 0 0 
71 7254 335 128 354 20 1857 52 0 0 10 0 0 0 
72 7131 351 137 365 17 1942 57 0 0 10 0 0 0 
