###### TEST LOG ####################
# Time taken               : 24.99 s
# Test Parameters: 
# 0.50 0.98 0.00 0.00
# 1.00 1.00 0.00 1.00
# Confined Less Infective? : True
# Homes Quarantined?       : False
# Quarantine when sampled? : False
# Testing Started When     : 20.00% recovered
# Fraction Tested Daily    : 0.00%
# LQ Tests Done in total   : 0
# HQ Tests Done in total   : 0
# All Tests Done in total  : 0
# Results Given in total   : 0
# Locations Moved in total : 3982356
# Total recovered HCW      : 56
# Total HCW                : 72
# Rate Array: 
#     0 0.125 0.125     0     0     0     0 
#     0     0     0     0     0 0.143     0 
#     0     0     0 0.425 0.075     0     0 
#     0     0     0     0     0   0.1     0 
#     0     0     0     0     0   0.1   0.4 
#     0     0     0     0     0     0     0 
#     0     0     0     0     0   0.1     0 
###### END LOG #####################
#
# Day nS nA nP nMI nSI nR nH PCR_conducted_today RAT_conducted_today Tests_remaining_today Agents_currently_confined Quarantines_removed_today Locations_in_quarantine_today
0 9990 10 0 0 0 0 0 0 0 0 0 0 0 
1 9985 11 3 0 0 1 0 0 0 0 0 0 0 
2 9978 13 5 3 0 1 0 0 0 0 0 0 0 
3 9976 13 4 3 0 4 0 0 0 0 0 0 0 
4 9970 15 3 6 0 6 0 0 0 0 0 0 0 
5 9967 16 3 6 1 7 0 0 0 0 0 0 0 
6 9963 15 3 8 1 9 1 0 0 0 0 0 0 
7 9960 10 5 8 0 15 2 0 0 0 0 0 0 
8 9954 13 3 10 0 18 2 0 0 0 0 0 0 
9 9952 12 1 11 0 23 1 0 0 0 0 0 0 
10 9946 11 4 11 0 28 0 0 0 0 0 0 0 
11 9943 10 5 9 0 33 0 0 0 0 0 0 0 
12 9939 11 3 11 0 36 0 0 0 0 0 0 0 
13 9937 10 2 14 0 37 0 0 0 0 0 0 0 
14 9936 10 2 14 0 38 0 0 0 0 0 0 0 
15 9930 8 6 15 0 41 0 0 0 0 0 0 0 
16 9923 10 5 15 0 47 0 0 0 0 0 0 0 
17 9918 12 4 16 0 50 0 0 0 0 0 0 0 
